name,is_business,license_number,type,company,city,state,zip,county,licensed_since,expires,disciplined
Real Estate Development & Sales Inc,True,478011396,LICENSED REAL ESTATE BROKER CORPORATION,Real Estate Development & Sales Inc,Chicago,IL,60642,Cook,12/03/2004,10/31/2026,N
Lakeland Realty Team Inc,True,478011533,LICENSED REAL ESTATE BROKER CORPORATION,Lakeland Realty Team Inc,Hawthorn Woods,IL,60047,Lake,03/03/2005,10/31/2026,N
Alpha Omega Real Estate Services Inc,True,478011537,LICENSED REAL ESTATE BROKER CORPORATION,Alpha Omega Real Estate Services Inc,Evanston,IL,60201,Cook,03/09/2005,10/31/2026,N
A P  Realty Group Inc,True,478011561,LICENSED REAL ESTATE BROKER CORPORATION,A P  Realty Group Inc,Aurora,IL,60506,Kane,03/17/2005,10/31/2026,N
V I P Realty Group Inc,True,478011581,LICENSED REAL ESTATE BROKER CORPORATION,V I P Realty Group Inc,Addison,IL,60101,,03/31/2005,10/31/2026,N
Perfect Properties Inc,True,478011592,LICENSED REAL ESTATE BROKER CORPORATION,Perfect Properties Inc,Naperville,IL,60564,,04/05/2005,10/31/2026,N
Bilotas Inc,True,478011604,LICENSED REAL ESTATE BROKER CORPORATION,Four Daughters Real Estate,Arlington Heights,IL,60005,Cook,04/12/2005,10/31/2026,N
Red Door Realty Llc,True,481012245,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Red Door Realty Llc,Matteson,IL,60443,Cook,10/02/2014,10/31/2026,N
Click Realty Llc,True,481012268,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Click Realty Llc,Chicago,IL,60615,Cook,12/03/2014,10/31/2026,N
Park Street Commercial Real Estate Llc,True,481012294,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Park Street Commercial Real Estate Llc,Oakbrook Terrace,IL,60181,Dupage,01/28/2015,10/31/2026,N
Andrea Heeg Real Estate Llc,True,481012331,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Andrea Heeg Real Estate Llc,Geneva,IL,60134,Kane,04/11/2015,10/31/2026,N
Lofty Llc,True,481012345,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Lofty Llc,Chicago,IL,60642,Cook,05/18/2015,10/31/2026,N
X10 Commercial Llc,True,481012353,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,X10 Commercial Llc,Hoffman Estates,IL,60192,Cook,05/20/2015,10/31/2026,N
Cutting Edge Realty Llc,True,481012411,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Cutting Edge Realty Llc,Decatur,IL,62526,Macon,09/21/2015,10/31/2026,N
Dgmc Llc,True,481012457,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Keller Williams Experience,Downers Grove,IL,60515,Dupage,12/11/2015,10/31/2026,N
Rima Realty Llc,True,481012511,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Rima Realty Llc,Oak Lawn,IL,60453,Cook,04/07/2016,10/31/2026,N
Pavilion Realty Llc,True,481012526,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Pavilion Realty Llc,Lombard,IL,60148,Dupage,05/26/2016,10/31/2026,N
Blackshire Real Estate Llc,True,481012538,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Blackshire Real Estate Llc,Lombard,IL,60148,Dupage,06/22/2016,10/31/2026,N
Dreams & Keys Real Estate Group Llc,True,481012574,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Dreams & Keys Real Estate Group Llc,Streamwood,IL,60107,Cook,10/12/2016,10/31/2026,N
Chicago Northwest Realty Llc,True,481012587,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Chicago Northwest Realty Llc,Chicago,IL,60646,Cook,11/02/2016,10/31/2026,N
